Depth,TotalInstructions,MemoryOperations,BranchInstructions,InputDeps,unroll_factor
1,16,6,3,12,32
1,49,20,12,55,256
1,15,4,5,18,32
1,169,68,44,76,256
1,13,5,3,7,32
1,19,9,4,10,16
1,15,5,4,4,16
1,28,10,7,12,32
1,19,9,2,24,32
1,14,5,3,7,32
1,43,15,9,20,16
1,17,5,4,4,8
1,11,6,2,4,32
1,39,16,9,14,32
1,62,22,20,24,64
1,11,6,2,4,32
1,14,6,3,10,2
1,46,13,14,36,32
1,35,13,3,23,32
1,13,5,3,7,32
1,14,6,3,9,32
2,14,6,3,9,32
3,74,34,12,41,32
4,56,25,8,21,2
5,33,13,4,13,2
1,13,5,3,7,32
1,39,11,10,27,256
1,7,3,2,2,32
1,65,19,16,41,32
1,12,5,3,7,32
1,52,18,19,21,64
1,10,2,3,13,32
1,27,12,7,8,32
1,24,10,3,13,32
1,51,14,8,13,16
1,15,6,4,13,16
1,17,7,3,7,32
1,15,7,3,7,32
1,23,8,3,15,32
1,26,11,6,26,32
1,52,14,14,75,32
1,46,13,14,64,32
1,24,12,3,13,32
1,46,20,8,28,32
1,11,6,2,4,32
1,118,46,29,56,64
1,27,10,6,12,32
1,67,29,15,30,256
1,15,5,3,25,16
2,26,11,5,41,16
1,11,6,2,4,32
2,11,6,2,4,32
1,21,9,3,18,32
1,29,12,3,45,32
1,15,6,3,10,16
1,48,19,14,37,32
