Depth,TotalInstructions,MemoryOperations,BranchInstructions,InputDeps,unroll_factor
1,16,6,3,12,32
1,49,20,12,55,256
1,15,4,5,18,32
1,169,68,44,76,256
1,13,5,3,7,32
1,19,9,4,10,16
1,15,5,4,4,16
1,28,10,7,12,32
1,19,9,2,24,32
1,14,5,3,7,32
1,43,15,9,20,16
1,17,5,4,4,8
1,11,6,2,4,32
1,39,16,9,14,32
1,62,22,20,24,64
1,11,6,2,4,32
1,14,6,3,10,2
1,46,13,14,36,32
1,35,13,3,23,32
1,13,5,3,7,32
1,14,6,3,9,32
2,14,6,3,9,32
3,74,34,12,41,32
4,56,25,8,21,2
5,33,13,4,13,2
1,13,5,3,7,32
1,39,11,10,27,256
1,7,3,2,2,32
1,65,19,16,41,32
1,12,5,3,7,32
1,52,18,19,21,64
1,10,2,3,13,32
1,27,12,7,8,32
1,24,10,3,13,32
1,51,14,8,13,16
1,15,6,4,13,16
1,17,7,3,7,32
1,15,7,3,7,32
1,23,8,3,15,32
1,26,11,6,26,32
1,52,14,14,75,32
1,46,13,14,64,32
1,24,12,3,13,32
1,46,20,8,28,32
1,11,6,2,4,32
1,118,46,29,56,64
1,27,10,6,12,32
1,67,29,15,30,256
1,15,5,3,25,16
2,26,11,5,41,16
1,11,6,2,4,32
2,11,6,2,4,32
1,21,9,3,18,32
1,29,12,3,45,32
1,15,6,3,10,16
1,48,19,14,37,32
3,16,6,4,7,32
3,34,14,5,21,32
1,15,3,6,5,16
3,19,10,5,11,16
3,17,4,6,3,16
1,168,67,46,78,256
2,12,6,5,9,32
6,54,25,10,19,2
1,12,4,5,9,32
1,47,14,13,65,32
1,18,4,3,5,8
1,13,6,4,26,16
3,17,7,4,15,16
3,48,13,13,63,32
7,31,13,3,12,2
3,49,20,11,57,256
2,48,21,16,36,32
1,28,10,3,46,32
1,61,22,19,22,64
3,64,20,18,43,32
1,22,6,3,15,32
3,18,7,3,10,16
1,10,6,4,4,32
1,61,21,21,22,64
1,13,4,6,6,16
1,46,21,15,39,32
3,14,8,2,8,2
1,44,12,16,38,32
1,16,9,1,8,32
3,37,13,2,22,32
2,52,12,14,75,32
1,17,8,5,14,32
1,20,11,2,26,32
3,47,18,6,30,32
1,39,16,7,15,32
2,27,12,5,12,32
1,51,20,20,23,64
1,8,2,3,1,32
1,30,12,7,10,32
3,14,5,1,8,32
1,5,1,1,4,32
1,13,5,1,9,32
1,48,19,9,26,32
2,13,6,2,4,32
3,15,7,5,11,2
3,27,13,6,28,32
1,36,14,5,22,32
3,17,6,2,4,16
1,15,9,4,5,32
2,52,12,6,14,16
3,11,6,1,4,32
2,45,14,13,36,32
1,20,8,5,16,32
2,26,12,9,12,32
1,18,8,4,8,16
1,16,5,4,10,2
3,64,24,20,26,64
1,45,13,15,62,32
1,12,6,3,7,32
1,15,4,2,6,32
1,26,8,5,10,32
3,28,9,6,28,32
1,14,7,5,6,32
2,25,9,6,28,32
1,14,4,4,17,32
3,24,14,5,12,32
1,16,4,1,11,32
1,10,4,4,9,32
1,116,46,30,55,64
3,15,7,4,7,32
1,50,13,16,73,32
3,27,9,8,12,32
1,46,17,13,39,32
3,10,5,2,6,32
3,12,5,2,5,32
1,14,8,2,11,2
1,27,10,8,28,32
1,14,7,3,11,32
1,15,6,6,16,32
2,8,1,5,15,32
1,12,8,3,4,32
1,50,21,11,57,256
1,9,4,4,11,32
1,19,11,5,10,16
4,35,13,6,13,2
1,48,14,15,64,32
2,5,1,3,1,32
1,38,10,11,25,256
2,13,5,3,13,16
3,27,12,3,46,32
1,167,66,42,77,256
3,23,10,4,13,32
3,62,24,20,24,64
1,27,11,8,13,32
1,44,19,9,27,32
1,167,66,43,76,256
3,24,10,4,16,32
1,15,6,5,2,8
2,15,3,3,16,32
1,48,14,13,64,32
2,21,8,4,25,32
1,10,3,3,12,32
1,47,12,12,36,32
1,12,7,3,6,32
1,14,4,1,26,16
2,170,68,42,76,256
3,15,7,4,9,32
1,12,5,2,8,32
3,40,11,9,26,256
1,29,9,8,11,32
